volatile acidity,citric acid,density,sulphates,alcohol,quality
0.24,0.4,0.9967,0.87,8.7,6.0
0.55,0.22,0.9959,0.63,9.2,5.0
0.42,0.38,0.9979,0.7,10.8,6.0
0.26,0.42,0.9974,0.8,9.4,6.0
0.51,0.28,0.998,0.74,9.2,5.0
0.63,0.07,0.9979,0.76,9.7,6.0
0.54,0.26,0.9981,0.74,9.2,6.0
0.66,0.15,0.9972,0.54,9.6,6.0
0.46,0.26,0.9981,0.74,9.2,6.0
0.38,0.31,0.9982,0.7,10.0,7.0
0.37,0.52,0.998,0.51,9.5,5.0
0.665,0.61,0.997,0.54,9.1,5.0
0.59,0.59,0.9988,0.65,11.0,6.0
0.765,0.22,0.9963,0.55,9.4,5.0
0.26,0.3,0.9949,0.47,10.8,6.0
0.48,0.54,1.0,0.61,10.5,6.0
0.6,0.49,0.9994,0.63,10.5,6.0
0.69,0.05,0.9974,0.61,9.1,5.0
0.31,0.46,0.9966,0.76,10.1,6.0
0.44,0.47,0.9981,0.65,10.8,6.0
0.39,0.66,0.9996,0.63,10.8,7.0
0.43,0.34,0.9987,0.62,9.5,6.0
0.45,0.35,0.9987,0.62,9.5,5.0
0.735,0.16,0.9966,0.64,9.3,5.0
0.52,0.34,0.9982,0.61,9.5,5.0
0.48,0.64,0.997,0.66,11.7,6.0
0.58,0.12,0.9956,0.48,10.5,5.0
0.38,0.51,0.9996,0.76,10.4,6.0
0.77,0.0,0.9976,0.68,9.9,5.0
0.56,0.33,0.9972,0.73,11.8,7.0
0.84,0.03,0.9952,0.56,12.3,7.0
0.96,0.2,0.9955,0.44,10.9,5.0
0.24,0.47,0.9978,0.9,11.0,7.0
0.67,0.08,0.9949,0.49,11.4,6.0
0.78,0.22,0.9988,0.56,10.6,6.0
0.52,0.33,0.9978,0.6,9.3,5.0
0.55,0.35,0.9974,0.56,9.2,5.0
0.37,0.69,0.9958,0.65,12.8,6.0
0.39,0.63,1.0004,0.49,9.5,5.0
0.41,0.55,0.9996,0.89,9.9,6.0
0.67,0.3,0.9958,0.56,10.2,6.0
0.45,0.73,0.9986,0.66,11.2,6.0
0.62,0.18,0.9951,0.6,9.3,5.0
0.4,0.65,0.9988,0.68,11.3,6.0
0.44,0.49,0.9963,0.63,11.6,7.0
0.57,0.01,0.9934,0.84,12.5,7.0
0.735,0.1,0.9986,0.56,10.1,6.0
0.53,0.22,0.9967,0.56,10.2,6.0
0.39,0.69,0.9994,0.61,10.8,6.0
0.56,0.03,0.9968,0.63,10.0,6.0
0.33,0.63,0.9998,0.74,11.2,7.0
0.23,0.4,0.9952,0.63,11.1,5.0
0.59,0.39,0.9986,0.58,10.3,5.0
0.63,0.21,0.9988,0.58,9.6,5.0
0.43,0.52,0.9976,0.61,11.3,6.0
0.615,0.22,0.9982,0.61,9.3,5.0
0.26,0.68,0.997,0.61,11.8,5.0
0.315,0.54,0.9987,0.7,9.2,6.0
0.29,0.4,1.0006,0.91,9.7,5.0
0.5,0.42,0.9982,0.72,11.5,6.0
0.36,0.69,1.0,0.62,9.2,6.0
0.82,0.02,0.9952,0.58,9.8,5.0
0.54,0.42,0.997,0.71,11.4,6.0
0.35,0.55,0.9971,0.79,10.6,5.0
0.28,0.51,0.9982,0.89,9.4,6.0
0.68,0.24,0.9988,0.6,10.2,5.0
0.27,0.41,0.998,0.7,9.7,5.0
0.685,0.11,0.9984,0.7,10.1,6.0
0.67,0.39,0.9976,0.47,10.0,5.0
0.645,0.36,0.9982,0.42,10.0,6.0
0.32,0.55,1.0002,0.92,10.8,7.0
0.39,0.4,0.9984,0.75,10.2,6.0
0.775,0.27,0.9984,0.67,10.6,6.0
0.41,0.5,0.9952,0.79,13.3,7.0
0.4,0.51,0.995,0.9,13.4,7.0
0.69,0.31,1.0002,0.74,11.6,6.0
0.52,0.25,0.9984,0.65,9.0,6.0
0.49,0.63,0.9968,0.78,12.5,7.0
0.67,0.55,1.0,0.71,9.5,6.0
0.59,0.31,0.9994,0.63,10.2,6.0
0.51,0.64,0.9973,0.66,11.8,7.0
0.21,0.49,0.9972,0.68,11.7,6.0
0.365,0.49,0.9966,0.78,11.0,5.0
0.25,0.49,0.9982,0.9,10.0,6.0
0.41,0.49,0.998,0.64,9.1,5.0
0.43,0.49,0.9976,0.64,9.5,5.0
0.64,0.24,0.9998,0.67,9.9,5.0
0.38,0.49,0.9962,0.77,11.4,6.0
0.42,0.49,0.9988,0.75,8.7,6.0
0.63,0.24,0.9974,0.57,9.4,5.0
0.22,0.24,0.999,0.87,10.3,6.0
0.38,0.49,1.0004,0.61,10.3,5.0
0.27,0.24,0.9956,0.66,12.8,6.0
0.48,0.24,1.0,0.56,10.0,6.0
0.825,0.24,0.9972,0.77,10.7,6.0
0.59,0.24,0.9988,0.67,9.6,5.0
0.715,0.24,0.9966,0.59,9.9,5.0
0.66,0.24,0.9993,0.72,11.0,6.0
0.47,0.49,0.9982,0.59,9.1,5.0
0.55,0.24,0.9983,0.78,9.5,6.0
0.31,0.49,0.9987,0.86,10.7,6.0
0.51,0.01,0.9958,0.56,9.5,6.0
0.43,0.24,0.998,0.73,10.0,6.0
0.46,0.24,0.998,0.74,10.0,6.0
0.44,0.49,0.9978,0.58,9.2,5.0
0.54,0.49,0.9982,0.61,9.2,5.0
0.29,0.49,0.9971,0.61,10.1,6.0
0.36,0.24,0.9946,0.57,11.7,6.0
0.35,0.49,1.0003,0.91,11.0,6.0
0.24,0.49,0.9978,0.61,10.4,5.0
0.59,0.49,0.9991,0.56,9.6,4.0
0.34,0.49,0.9992,0.7,10.0,6.0
0.27,0.49,0.9993,0.8,10.2,6.0
0.5,0.24,0.9978,0.52,10.0,4.0
0.44,0.49,0.9982,0.6,9.5,5.0
0.47,0.49,0.9982,0.6,9.8,5.0
0.31,0.49,0.9976,0.51,9.8,6.0
0.5,0.49,1.0002,0.44,9.6,5.0
0.49,0.49,1.0,0.43,9.2,5.0
0.28,0.49,0.9976,0.66,9.9,7.0
0.51,0.24,0.998,0.66,9.6,6.0
0.73,0.24,0.9967,0.59,9.3,5.0
0.29,0.49,0.9976,0.74,10.5,7.0
0.45,0.49,0.9987,0.57,9.7,5.0
0.49,0.58,1.0004,0.58,9.0,5.0
0.72,0.17,0.9978,0.53,9.5,5.0
0.58,0.58,0.998,0.63,10.0,6.0
0.585,0.18,0.9967,0.48,9.8,6.0
0.915,0.27,0.9962,0.47,10.0,4.0
0.835,0.0,0.9975,0.52,9.3,5.0
0.58,0.13,0.9984,0.62,9.1,6.0
0.6,0.13,0.9984,0.59,9.2,6.0
0.48,0.41,0.9982,0.53,10.5,6.0
0.36,0.19,0.9956,0.52,12.7,6.0
0.24,0.54,0.9983,0.54,9.2,5.0
0.64,0.0,0.9965,0.6,10.0,6.0
0.39,0.38,0.9962,0.74,9.8,5.0
0.6,0.5,0.9997,0.57,9.7,5.0
0.31,0.51,0.9982,0.93,9.8,6.0
0.46,0.5,1.0006,0.7,10.2,5.0
0.37,0.41,0.9988,0.8,9.3,5.0
0.54,0.24,0.9976,0.61,9.4,5.0
0.56,0.23,0.9976,0.62,9.4,5.0
0.58,0.22,0.9974,0.55,9.5,5.0
0.51,0.25,0.9974,0.96,12.1,6.0
0.6,0.29,0.9988,0.49,9.1,5.0
0.54,0.26,0.9976,0.6,9.3,6.0
0.685,0.23,0.9964,0.61,9.3,5.0
0.28,0.54,0.9988,0.63,9.5,5.0
0.41,0.14,0.9964,0.57,10.5,6.0
0.935,0.22,1.001,0.64,11.3,4.0
0.84,0.0,0.9954,0.55,9.7,5.0
0.54,0.45,0.9991,0.62,9.4,5.0
0.59,0.44,0.9992,0.63,9.5,5.0
0.67,0.05,0.9972,0.63,10.1,5.0
0.845,0.01,0.9967,0.58,11.0,4.0
0.48,0.3,0.9964,0.67,11.2,7.0
0.33,0.59,0.9976,0.54,12.0,6.0
0.47,0.47,0.9979,0.46,9.5,5.0
0.55,0.17,1.0004,0.61,9.4,5.0
0.52,0.07,0.9973,0.81,9.6,6.0
0.42,0.31,0.9978,0.64,9.0,5.0
0.57,0.06,0.9972,0.7,9.6,6.0
0.28,0.46,0.9974,0.79,10.2,6.0
0.4,0.52,1.0,0.66,10.2,5.0
0.59,0.14,0.9981,0.56,9.7,5.0
0.34,0.45,0.9988,0.66,9.2,6.0
0.73,0.43,0.9966,0.57,11.0,5.0
0.4,0.24,0.9959,0.58,10.0,5.0
0.73,0.21,0.9968,0.52,9.5,5.0
0.4,0.41,0.9984,0.67,9.3,6.0
0.41,0.39,0.9984,0.65,10.2,5.0
0.8,0.11,0.9979,0.48,9.9,5.0
0.26,0.45,0.9972,0.54,9.6,5.0
0.45,0.23,0.9962,0.49,10.2,6.0
0.46,0.31,0.998,0.54,9.8,5.0
0.78,0.23,0.997,0.56,11.3,5.0
0.65,0.18,0.997,0.6,9.1,5.0
0.64,0.23,0.9998,0.59,9.7,5.0
0.66,0.04,0.9962,0.47,9.4,5.0
0.92,0.24,0.9998,0.54,9.8,5.0
0.48,0.32,0.9984,0.62,9.4,5.0
0.65,0.02,0.9972,0.67,9.5,6.0
0.615,0.28,1.0001,0.53,9.7,5.0
0.38,0.55,0.9986,0.62,10.8,6.0
0.64,0.02,0.997,0.67,9.4,6.0
0.38,0.48,0.9972,0.7,9.6,4.0
0.765,0.04,0.998,0.54,9.7,4.0
0.78,0.08,0.9956,0.47,10.0,5.0
0.49,0.19,0.9966,0.51,10.5,5.0
0.545,0.12,0.996,0.61,11.6,6.0
0.31,0.47,0.9983,0.66,10.0,6.0
0.565,0.34,0.9998,0.61,9.5,5.0
0.69,0.0,0.9992,0.45,9.4,5.0
0.43,0.36,0.9976,0.46,9.4,5.0
0.74,0.28,0.998,0.51,9.8,5.0
0.49,0.18,0.9967,0.48,9.2,6.0
0.46,0.11,0.9968,0.57,10.0,5.0
0.56,0.04,0.9976,0.44,9.6,5.0
0.48,0.24,0.9982,0.53,9.2,5.0
0.42,0.08,0.9968,0.59,10.0,5.0
0.66,0.17,0.9976,0.55,10.4,5.0
0.72,0.09,0.9994,0.72,11.1,6.0
0.57,0.02,0.997,0.68,9.5,5.0
0.865,0.03,0.995,0.49,12.7,6.0
0.875,0.13,0.9994,0.52,11.5,5.0
0.835,0.03,0.9966,0.47,9.6,5.0
0.45,0.34,0.998,0.6,9.5,5.0
0.56,0.2,0.9987,0.62,9.3,5.0
0.965,0.1,0.9963,0.5,9.5,5.0
0.59,0.0,1.0002,0.65,9.3,6.0
0.46,0.23,0.9983,0.56,9.2,5.0
0.69,0.0,0.999,0.6,9.3,5.0
0.615,0.0,0.9972,0.65,9.2,5.0
0.41,0.58,1.00024,0.53,10.0,5.0
0.39,0.54,1.0001,0.51,9.5,5.0
0.51,0.18,0.99768,0.73,9.5,6.0
0.34,0.38,0.9978,0.47,9.0,6.0
0.33,0.4,0.99782,0.48,9.4,5.0
0.5,0.18,0.99761,0.72,9.6,6.0
0.65,0.1,0.99803,0.55,9.5,5.0
0.54,0.13,0.99785,0.61,9.4,5.0
0.91,0.07,0.99525,0.43,10.7,6.0
0.98,0.01,0.99488,0.46,11.2,6.0
0.87,0.0,0.99656,0.5,9.8,5.0
0.42,0.21,0.99823,0.52,9.2,5.0
0.58,0.25,0.99779,0.57,9.7,5.0
0.655,0.26,0.99738,0.42,9.6,5.0
0.7,0.0,0.99701,0.53,10.0,6.0
0.68,0.11,0.99888,0.55,9.5,6.0
0.67,0.1,0.99888,0.54,9.5,6.0
0.59,0.18,0.99738,0.54,9.4,5.0
0.6,0.32,0.99938,0.62,9.5,5.0
0.59,0.02,0.99744,0.53,9.7,6.0
0.72,0.01,0.99668,0.54,9.6,5.0
1.0,0.0,0.99586,0.46,10.0,5.0
0.43,0.3,0.99788,0.61,10.5,5.0
0.52,0.03,0.99745,0.6,9.8,5.0
0.46,0.14,0.99732,0.65,9.8,5.0
0.82,0.05,0.99814,0.53,10.0,5.0
0.59,0.01,0.99746,0.59,9.8,5.0
0.35,0.41,0.9982,0.5,9.5,5.0
0.56,0.24,0.9991,0.56,10.1,6.0
0.63,0.17,0.998,0.52,9.3,5.0
0.37,0.43,0.99708,0.68,9.7,6.0
0.61,0.02,0.99745,0.6,9.7,6.0
0.6,0.0,0.99639,0.56,10.8,5.0
0.27,0.54,0.99531,0.53,12.5,6.0
0.5,0.34,0.9987,0.52,10.7,6.0
0.55,0.09,0.99735,0.44,10.0,5.0
0.585,0.0,0.99264,0.94,12.9,7.0
0.56,0.08,0.9971,0.66,9.6,6.0
0.52,0.22,0.99682,0.57,9.9,6.0
0.28,0.4,0.99356,0.7,12.8,7.0
0.25,0.39,0.99386,0.71,12.5,7.0
0.48,0.31,0.99693,0.55,10.3,6.0
0.49,0.1,0.99562,0.47,10.5,5.0
0.45,0.33,0.99818,0.71,10.8,5.0
0.39,0.24,0.99462,0.58,11.4,4.0
0.51,0.19,0.9984,0.58,10.5,6.0
0.29,0.42,0.99545,0.73,11.9,6.0
0.715,0.0,0.99632,0.45,9.4,5.0
0.66,0.15,0.99976,0.54,9.6,5.0
0.685,0.0,0.99606,0.6,9.7,5.0
0.54,0.13,0.9973,0.64,9.8,5.0
0.48,0.28,0.99682,0.53,10.3,5.0
0.46,0.14,0.99624,0.49,10.7,5.0
0.27,0.34,0.9951,0.64,11.0,7.0
0.61,0.08,0.99376,0.77,11.1,6.0
0.685,0.07,0.99632,0.55,10.9,4.0
0.685,0.26,0.99694,0.47,9.4,5.0
0.665,0.1,0.99655,0.51,9.3,5.0
0.31,0.35,0.99672,0.83,11.2,7.0
0.5,0.04,0.99647,0.47,10.0,5.0
0.42,0.47,0.99736,0.77,12.1,7.0
0.66,0.0,0.99629,0.63,10.3,5.0
0.5,0.45,0.99708,0.72,10.9,6.0
0.685,0.35,0.9963,0.62,9.4,5.0
0.25,0.46,0.9959,0.83,10.6,6.0
0.64,0.21,0.99689,0.66,9.8,5.0
0.68,0.16,0.9977,0.7,9.9,6.0
0.63,0.21,0.99689,0.66,9.8,5.0
0.43,0.44,0.99708,0.55,9.5,5.0
0.36,0.39,0.99652,0.73,10.9,6.0
0.735,0.02,0.99538,0.71,11.7,7.0
0.26,0.34,0.99594,0.78,11.3,7.0
0.28,0.47,0.99686,0.67,10.6,7.0
0.56,0.22,0.99438,0.82,11.2,6.0
0.62,0.06,0.99746,0.54,9.5,5.0
1.01,0.66,0.99357,0.6,11.5,6.0
0.42,0.32,0.99628,0.44,10.4,5.0
0.62,0.06,0.99746,0.53,9.7,5.0
0.635,0.07,0.99748,0.54,9.7,5.0
0.49,0.22,0.99438,0.83,11.3,6.0
0.51,0.23,0.99438,0.84,11.2,6.0
0.63,0.03,0.99578,0.64,10.9,6.0
0.715,0.01,0.99371,0.57,11.8,6.0
0.56,0.03,0.99522,0.57,10.6,5.0
0.35,0.24,0.99576,0.54,10.0,4.0
0.21,0.37,0.99552,0.58,11.1,7.0
0.38,0.46,0.99664,0.65,11.8,7.0
0.31,0.4,0.99614,0.79,11.8,7.0
0.47,0.0,0.99517,0.58,10.9,4.0
0.6,0.04,0.99745,0.55,9.5,5.0
0.56,0.18,0.99576,0.49,9.9,5.0
0.715,0.0,0.99533,0.65,11.4,6.0
0.75,0.14,0.99824,0.64,10.5,5.0
0.8,0.12,0.99836,0.65,10.4,6.0
0.52,0.38,0.99577,0.79,12.1,7.0
0.57,0.0,0.99491,0.56,11.2,6.0
0.34,0.24,0.99576,0.58,10.1,5.0
0.66,0.03,0.99743,0.57,9.7,5.0
0.45,0.23,0.99774,0.65,9.3,6.0
0.63,0.03,0.99745,0.58,9.8,6.0
0.59,0.01,0.9955,0.58,10.7,6.0
0.31,0.39,0.99444,0.77,12.5,7.0
0.31,0.36,0.99562,0.69,11.8,5.0
0.635,0.1,0.99736,0.69,10.8,7.0
0.58,0.2,0.998,0.59,9.5,5.0
0.54,0.27,0.9964,0.71,11.0,5.0
0.56,0.0,0.9948,0.54,11.5,6.0
0.52,0.13,0.99528,0.59,10.8,6.0
0.305,0.39,0.99331,0.52,11.5,6.0
0.46,0.44,0.99674,0.62,12.2,6.0
